Key,en,es,ar,fr
Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs.,Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs.,Conviértase en parte de nuestra comunidad registrándose para obtener una cuenta hoy. Disfrute de una variedad de beneficios y características diseñadas para satisfacer sus necesidades.,كن جزءًا من مجتمعنا من خلال التسجيل للحصول على حساب اليوم. استمتع بمجموعة من المزايا والميزات المصممة خصيصًا لتلبية احتياجاتك.,Devenez membre de notre communauté en créant un compte dès aujourd'hui. Bénéficiez d’une gamme d’avantages et de fonctionnalités adaptés à vos besoins.
Enter Name,Enter Name,Introduzca el nombre,أدخل الاسم,Entrez le nom
Already have an account?,Already have an account?,¿Ya tienes una cuenta?,هل لديك حساب بالفعل؟,Vous avez déjà un compte ?
Terms of Use & Privacy Policy,Terms of Use & Privacy Policy,Términos de uso y política de privacidad,شروط الاستخدام وسياسة الخصوصية,Conditions d'utilisation et politique de confidentialité
appLAgree,I have read agreed with the,He leído de acuerdo con el,لقد قرأت الاتفاق مع,J'ai lu d'accord avec le
Your account has been create successfully. Thanks for using CrypInvest.,Your account has been create successfully. Thanks for using CrypInvest.,Su cuenta se ha creado correctamente. Gracias por usar CrypInvest.,لقد تم إنشاء حسابك بنجاح. شكرا لاستخدام CrypInvest.,Votre compte a été créé avec succès. Merci d'utiliser CrypInvest.
My Invest,My Invest,Mi inversión,استثماري,Mon investissement
Profit Log,Profit Log,Registro de ganancias,سجل الربح,Journal des bénéfices
Settings,Settings,Ajustes,إعدادات,Paramètres
Admeral Vison,Admeral Vison,Almirante Vison,الأدميرال فيسون,Adméral Vison
Change Language,Change Language,Cambiar idioma,تغيير اللغة,Changer de langue
Delete Account,Delete Account,Eliminar cuenta,حذف الحساب,Supprimer le compte
ID Type,ID Type,Tipo de identificación,نوع الهوية,Type d'identification
Select ID Type,Select ID Type,Seleccione el tipo de identificación,حدد نوع الهوية,Sélectionnez le type d'identification
Enable 2FA Security,Enable 2FA Security,Habilitar la seguridad 2FA,تمكين أمان 2FA,Activer la sécurité 2FA
We'll ask for a verification code via your security method if we notice a sign in from an unrecognized device or browser. Enable your 2FA Security.,We'll ask for a verification code via your security method if we notice a sign in from an unrecognized device or browser. Enable your 2FA Security.,Le solicitaremos un código de verificación a través de su método de seguridad si detectamos un inicio de sesión desde un dispositivo o navegador no reconocido. Habilite su seguridad 2FA.,سنطلب رمز التحقق عبر طريقة الأمان الخاصة بك إذا لاحظنا تسجيل الدخول من جهاز أو متصفح غير معروف. قم بتمكين أمان 2FA الخاص بك.,Nous vous demanderons un code de vérification via votre méthode de sécurité si nous remarquons une connexion à partir d'un appareil ou d'un navigateur non reconnu. Activez votre sécurité 2FA.
Invest Plan,Invest Plan,Plan de inversión,خطة الاستثمار,Plan d'investissement
Add Money,Add Money,Agregar dinero,أضف المال,Ajouter de l'argent
Money Transfer,Money Transfer,Transferencia de dinero,تحويل الأموال,Transfert d'argent
USD,USD,Dólar estadounidense,دولار أمريكي,USD
Limit:,Limit:,Límite:,حد:,Limite:
Rate:,Rate:,Tasa:,معدل:,Taux:
Your money has been added successfully. Thanks for using CrypInvest.,Your money has been added successfully. Thanks for using CrypInvest.,Su dinero se ha agregado exitosamente. Gracias por usar CrypInvest.,تمت إضافة أموالك بنجاح. شكرا لاستخدام CrypInvest.,Votre argent a été ajouté avec succès. Merci d'utiliser CrypInvest.
Entered Amount,Entered Amount,Monto ingresado,المبلغ المدخل,Montant saisi
Amount Information,Amount Information,Información de cantidad,معلومات المبلغ,Informations sur le montant
Enter Amount,Enter Amount,Ingrese el monto,أدخل المبلغ,Entrez le montant
You Will Get,You Will Get,Obtendrás,سوف تحصل على,Vous obtiendrez
Total Payable,Total Payable,Total a pagar,مجموع المستحق الدفع,Total à payer
Charges,Charges,Cargos,رسوم,Frais
Your money has been out successfully. Thanks for using CrypInvest.,Your money has been out successfully. Thanks for using CrypInvest.,Su dinero ha salido exitosamente. Gracias por usar CrypInvest.,لقد تم إخراج أموالك بنجاح. شكرا لاستخدام CrypInvest.,Votre argent a été sorti avec succès. Merci d'utiliser CrypInvest.
Sending Amount,Sending Amount,Monto de envío,إرسال المبلغ,Montant d'envoi
Enter Sending Amount,Enter Sending Amount,Ingrese el monto del envío,أدخل مبلغ الإرسال,Entrez le montant de l'envoi
Receiver Email Address,Receiver Email Address,Dirección de correo electrónico del destinatario,عنوان البريد الإلكتروني للمستلم,Adresse e-mail du destinataire
Receiver Information,Receiver Information,Información del receptor,معلومات المتلقي,Informations sur le récepteur
Enter Receiver Email Address,Enter Receiver Email Address,Ingrese la dirección de correo electrónico del destinatario,أدخل عنوان البريد الإلكتروني للمستلم,Entrez l'adresse e-mail du destinataire
Your money has been transfer successfully. Thanks for using CrypInvest.,Your money has been transfer successfully. Thanks for using CrypInvest.,Su dinero ha sido transferido exitosamente. Gracias por usar CrypInvest.,لقد تم تحويل أموالك بنجاح. شكرا لاستخدام CrypInvest.,Votre argent a été transféré avec succès. Merci d'utiliser CrypInvest.
cornel,cornel,cornejo,كورنيل,cornouiller
Arichart,Arichart,arichart,أريكارت,Arichart
Phone Number,Phone Number,Número de teléfono,رقم التليفون,Numéro de téléphone
Enter City,Enter City,Ingrese la ciudad,أدخل المدينة,Entrez la ville
Enter State,Enter State,Ingresar estado,أدخل الولاية,Entrez l'état
Enter Address,Enter Address,Introduzca la dirección,أدخل العنوان,Entrez l'adresse
Enter ZipCode,Enter ZipCode,Ingrese el código postal,أدخل الرمز البريدي,Entrez le code postal
Update Profile,Update Profile,Actualizar perfil,تحديث الملف الشخصي,Mettre à jour le profil
Choose Plan,Choose Plan,Elige Plan,اختر الخطة,Choisir le forfait
Investment,Investment,Inversión,استثمار,Investissement
Proceed,Proceed,Proceder,يتابع,Procéder
No,No,No,لا,Non
Yes,Yes,Sí,نعم,Oui
Investment Amount,Investment Amount,Monto de la inversión,مبلغ الاستثمار,Montant de l'investissement
Enter investment amount,Enter investment amount,Ingrese el monto de la inversión,أدخل مبلغ الاستثمار,Entrez le montant de l'investissement
I have agreed with Terms & Conditions,I have agreed with Terms & Conditions,He aceptado los Términos y condiciones,لقد وافقت على الشروط والأحكام,J'ai accepté les termes et conditions
Go To My Invest,Go To My Invest,Ir a mi inversión,اذهب إلى استثماري,Aller à mon investissement
Your investment plan has been purchase successfully. Thanks for using CrypInvest.,Your investment plan has been purchase successfully. Thanks for using CrypInvest.,Su plan de inversión ha sido adquirido exitosamente. Gracias por usar CrypInvest.,لقد تم شراء خطتك الاستثمارية بنجاح. شكرا لاستخدام CrypInvest.,Votre plan d'investissement a été acheté avec succès. Merci d'utiliser CrypInvest.
please accept our Terms of Use & Privacy Policy for create account,please accept our Terms of Use & Privacy Policy for create account,acepte nuestros Términos de uso y Política de privacidad para crear una cuenta,يرجى قبول شروط الاستخدام وسياسة الخصوصية الخاصة بنا لإنشاء الحساب,veuillez accepter nos conditions d'utilisation et notre politique de confidentialité pour créer un compte
Do you Want to Sign Out from this Device?,Do you Want to Sign Out from this Device?,¿Quieres cerrar sesión en este dispositivo?,هل تريد تسجيل الخروج من هذا الجهاز؟,Voulez-vous vous déconnecter de cet appareil ?
Sign Out Alert,Sign Out Alert,Alerta de cierre de sesión,تنبيه تسجيل الخروج,Alerte de déconnexion
Select country,Select country,Seleccionar país,اختر البلد,Sélectionnez un pays
Maximum Investment,Maximum Investment,Máxima Inversión,الحد الأقصى للاستثمار,Investissement maximal
Fixed Profit,Fixed Profit,Beneficio fijo,الربح الثابت,Bénéfice fixe
Percentage Profit,Percentage Profit,Beneficio porcentual,نسبة الربح,Pourcentage de bénéfice
Minimum Invest,Minimum Invest,Inversión mínima,الحد الأدنى للاستثمار,Investissement minimum
profit_return_type,profit_return_type,tipo_retorno_beneficio,profit_return_type,profit_return_type
Just Click To Try This,Just Click To Try This,Simplemente haga clic para probar esto,فقط انقر لتجربة هذا,Cliquez simplement pour essayer ceci
Duration,Duration,Duración,مدة,Durée
Profit Return Type,Profit Return Type,Tipo de retorno de ganancias,نوع عائد الربح,Type de retour sur bénéfice
Days,Days,Días,أيام,Jours
Profit,Profit,Ganancia,ربح,Profit
Pending,Pending,Pendiente,قيد الانتظار,En attente
Rejected,Rejected,Rechazado,مرفوض,Rejeté
Verified,Verified,Verificado,تم التحقق منه,Vérifié
Update KYC,Update KYC,Actualizar KYC,تحديث اعرف عميلك,Mettre à jour le KYC
